Model: InDuDoNetPlus - Image Quality Evaluation by Metal Size
Date: 2025-05-12 15:39:11
Results Base Directory: /home/mcosta/PycharmProjects/InDuDoNet_plus/results/deeplesion
Structure: Nested (GT: Xgt, ModelOut: X)
Forced HU eval for image files: True
HU eval range used: [-1000, 3000]
Total files iterated: 2000
Total files with metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.18 ± 3.84         0.9760 ± 0.0066                 N/A                   N/A
Large-Med   ({688, 1329}px)     400       38.35 ± 3.75         0.9849 ± 0.0041                 N/A                   N/A
Medium      ({182, 371}px)      400       43.64 ± 3.13         0.9911 ± 0.0021                 N/A                   N/A
Med-Small   ({171, 180}px)      400       46.19 ± 2.44         0.9929 ± 0.0020                 N/A                   N/A
Small       ({54, 84}px)        400       46.33 ± 1.84         0.9932 ± 0.0013                 N/A                   N/A
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all successfully processed files) ---
PSNR(img): 41.94 ± 5.42 (from 2000 images)
SSIM(img): 0.9876 ± 0.0076
PSNR(hu): N/A (no valid HU data processed)
SSIM(hu): N/A (no valid HU data processed)

--- Individual File Metrics Log ---
Identifier                     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
img_010/mask_05.png                  4       171      G2       45.86      0.9913         nan         nan
img_010/mask_06.png                  5        54      G1       45.21      0.9926         nan         nan
img_010/mask_07.png                  6      1329      G4       35.28      0.9787         nan         nan
img_010/mask_08.png                  7      3119      G5       31.85      0.9624         nan         nan
img_010/mask_09.png                  8       182      G3       44.25      0.9874         nan         nan
img_010/mask_10.png                  9       180      G2       44.37      0.9859         nan         nan
img_011/mask_01.png                  0       371      G3       45.85      0.9912         nan         nan
img_011/mask_02.png                  1      1338      G5       40.52      0.9840         nan         nan
img_011/mask_03.png                  2       688      G4       42.67      0.9874         nan         nan
img_011/mask_04.png                  3        84      G1       46.71      0.9922         nan         nan
img_011/mask_05.png                  4       171      G2       46.81      0.9935         nan         nan
img_011/mask_06.png                  5        54      G1       46.98      0.9927         nan         nan
img_011/mask_07.png                  6      1329      G4       41.35      0.9873         nan         nan
img_011/mask_08.png                  7      3119      G5       38.50      0.9767         nan         nan
img_011/mask_09.png                  8       182      G3       43.78      0.9900         nan         nan
img_011/mask_10.png                  9       180      G2       44.06      0.9899         nan         nan
img_012/mask_01.png                  0       371      G3       41.29      0.9882         nan         nan
img_012/mask_02.png                  1      1338      G5       36.07      0.9753         nan         nan
img_012/mask_03.png                  2       688      G4       35.11      0.9798         nan         nan
img_012/mask_04.png                  3        84      G1       45.57      0.9920         nan         nan
img_012/mask_05.png                  4       171      G2       46.82      0.9936         nan         nan
img_012/mask_06.png                  5        54      G1       45.89      0.9932         nan         nan
img_012/mask_07.png                  6      1329      G4       33.91      0.9805         nan         nan
img_012/mask_08.png                  7      3119      G5       30.39      0.9645         nan         nan
img_012/mask_09.png                  8       182      G3       44.89      0.9916         nan         nan
img_012/mask_10.png                  9       180      G2       44.27      0.9911         nan         nan
img_013/mask_01.png                  0       371      G3       41.59      0.9880         nan         nan
img_013/mask_02.png                  1      1338      G5       34.00      0.9758         nan         nan
img_013/mask_03.png                  2       688      G4       38.06      0.9826         nan         nan
img_013/mask_04.png                  3        84      G1       45.35      0.9915         nan         nan
img_013/mask_05.png                  4       171      G2       46.79      0.9924         nan         nan
img_013/mask_06.png                  5        54      G1       47.24      0.9926         nan         nan
img_013/mask_07.png                  6      1329      G4       33.77      0.9812         nan         nan
img_013/mask_08.png                  7      3119      G5       30.28      0.9663         nan         nan
img_013/mask_09.png                  8       182      G3       44.54      0.9900         nan         nan
img_013/mask_10.png                  9       180      G2       45.81      0.9906         nan         nan
img_014/mask_01.png                  0       371      G3       44.34      0.9905         nan         nan
img_014/mask_02.png                  1      1338      G5       35.59      0.9781         nan         nan
img_014/mask_03.png                  2       688      G4       40.66      0.9855         nan         nan
img_014/mask_04.png                  3        84      G1       48.38      0.9933         nan         nan
img_014/mask_05.png                  4       171      G2       49.88      0.9945         nan         nan
img_014/mask_06.png                  5        54      G1       48.15      0.9938         nan         nan
img_014/mask_07.png                  6      1329      G4       34.96      0.9825         nan         nan
img_014/mask_08.png                  7      3119      G5       33.09      0.9716         nan         nan
img_014/mask_09.png                  8       182      G3       48.02      0.9932         nan         nan
img_014/mask_10.png                  9       180      G2       45.88      0.9916         nan         nan
img_015/mask_01.png                  0       371      G3       43.25      0.9912         nan         nan
img_015/mask_02.png                  1      1338      G5       34.78      0.9793         nan         nan
img_015/mask_03.png                  2       688      G4       39.19      0.9861         nan         nan
img_015/mask_04.png                  3        84      G1       45.58      0.9935         nan         nan
img_015/mask_05.png                  4       171      G2       46.24      0.9946         nan         nan
img_015/mask_06.png                  5        54      G1       46.22      0.9941         nan         nan
img_015/mask_07.png                  6      1329      G4       34.63      0.9830         nan         nan
img_015/mask_08.png                  7      3119      G5       32.92      0.9740         nan         nan
img_015/mask_09.png                  8       182      G3       44.69      0.9927         nan         nan
img_015/mask_10.png                  9       180      G2       45.56      0.9930         nan         nan
img_016/mask_01.png                  0       371      G3       42.01      0.9895         nan         nan
img_016/mask_02.png                  1      1338      G5       35.93      0.9778         nan         nan
img_016/mask_03.png                  2       688      G4       38.19      0.9834         nan         nan
img_016/mask_04.png                  3        84      G1       48.80      0.9934         nan         nan
img_016/mask_05.png                  4       171      G2       49.18      0.9940         nan         nan
img_016/mask_06.png                  5        54      G1       48.92      0.9939         nan         nan
img_016/mask_07.png                  6      1329      G4       34.65      0.9818         nan         nan
img_016/mask_08.png                  7      3119      G5       31.97      0.9699         nan         nan
img_016/mask_09.png                  8       182      G3       47.74      0.9927         nan         nan
img_016/mask_10.png                  9       180      G2       46.42      0.9916         nan         nan
img_017/mask_01.png                  0       371      G3       41.92      0.9887         nan         nan
img_017/mask_02.png                  1      1338      G5       36.80      0.9760         nan         nan
img_017/mask_03.png                  2       688      G4       39.50      0.9833         nan         nan
img_017/mask_04.png                  3        84      G1       45.99      0.9918         nan         nan
img_017/mask_05.png                  4       171      G2       47.14      0.9925         nan         nan
img_017/mask_06.png                  5        54      G1       47.45      0.9931         nan         nan
img_017/mask_07.png                  6      1329      G4       32.62      0.9784         nan         nan
img_017/mask_08.png                  7      3119      G5       29.26      0.9626         nan         nan
img_017/mask_09.png                  8       182      G3       44.49      0.9912         nan         nan
img_017/mask_10.png                  9       180      G2       44.35      0.9907         nan         nan
img_018/mask_01.png                  0       371      G3       33.56      0.9866         nan         nan
img_018/mask_02.png                  1      1338      G5       29.11      0.9734         nan         nan
img_018/mask_03.png                  2       688      G4       32.09      0.9814         nan         nan
img_018/mask_04.png                  3        84      G1       49.48      0.9937         nan         nan
img_018/mask_05.png                  4       171      G2       50.41      0.9946         nan         nan
img_018/mask_06.png                  5        54      G1       48.95      0.9941         nan         nan
img_018/mask_07.png                  6      1329      G4       41.41      0.9876         nan         nan
img_018/mask_08.png                  7      3119      G5       39.22      0.9783         nan         nan
img_018/mask_09.png                  8       182      G3       45.67      0.9924         nan         nan
img_018/mask_10.png                  9       180      G2       45.10      0.9920         nan         nan
img_019/mask_01.png                  0       371      G3       38.82      0.9920         nan         nan
img_019/mask_02.png                  1      1338      G5       41.53      0.9853         nan         nan
img_019/mask_03.png                  2       688      G4       38.35      0.9870         nan         nan
img_019/mask_04.png                  3        84      G1       47.20      0.9940         nan         nan
img_019/mask_05.png                  4       171      G2       45.90      0.9942         nan         nan
img_019/mask_06.png                  5        54      G1       47.49      0.9939         nan         nan
img_019/mask_07.png                  6      1329      G4       39.80      0.9894         nan         nan
img_019/mask_08.png                  7      3119      G5       38.61      0.9813         nan         nan
img_019/mask_09.png                  8       182      G3       45.21      0.9926         nan         nan
img_019/mask_10.png                  9       180      G2       46.49      0.9934         nan         nan
img_020/mask_01.png                  0       371      G3       37.20      0.9903         nan         nan
img_020/mask_02.png                  1      1338      G5       25.34      0.9635         nan         nan
img_020/mask_03.png                  2       688      G4       40.37      0.9882         nan         nan
img_020/mask_04.png                  3        84      G1       46.37      0.9924         nan         nan
img_020/mask_05.png                  4       171      G2       49.76      0.9946         nan         nan
img_020/mask_06.png                  5        54      G1       47.56      0.9932         nan         nan
img_020/mask_07.png                  6      1329      G4       41.46      0.9874         nan         nan
img_020/mask_08.png                  7      3119      G5       37.43      0.9762         nan         nan
img_020/mask_09.png                  8       182      G3       43.72      0.9904         nan         nan
img_020/mask_10.png                  9       180      G2       44.55      0.9910         nan         nan
img_021/mask_01.png                  0       371      G3       41.73      0.9927         nan         nan
img_021/mask_02.png                  1      1338      G5       32.06      0.9802         nan         nan
img_021/mask_03.png                  2       688      G4       38.61      0.9857         nan         nan
img_021/mask_04.png                  3        84      G1       47.51      0.9942         nan         nan
img_021/mask_05.png                  4       171      G2       48.11      0.9953         nan         nan
img_021/mask_06.png                  5        54      G1       47.10      0.9941         nan         nan
img_021/mask_07.png                  6      1329      G4       40.85      0.9889         nan         nan
img_021/mask_08.png                  7      3119      G5       38.80      0.9809         nan         nan
img_021/mask_09.png                  8       182      G3       46.17      0.9931         nan         nan
img_021/mask_10.png                  9       180      G2       47.82      0.9935         nan         nan
img_022/mask_01.png                  0       371      G3       47.15      0.9932         nan         nan
img_022/mask_02.png                  1      1338      G5       39.53      0.9844         nan         nan
img_022/mask_03.png                  2       688      G4       41.06      0.9860         nan         nan
img_022/mask_04.png                  3        84      G1       45.65      0.9941         nan         nan
img_022/mask_05.png                  4       171      G2       46.29      0.9955         nan         nan
img_022/mask_06.png                  5        54      G1       44.89      0.9940         nan         nan
img_022/mask_07.png                  6      1329      G4       41.20      0.9891         nan         nan
img_022/mask_08.png                  7      3119      G5       38.02      0.9794         nan         nan
img_022/mask_09.png                  8       182      G3       44.82      0.9929         nan         nan
img_022/mask_10.png                  9       180      G2       45.88      0.9934         nan         nan
img_023/mask_01.png                  0       371      G3       44.35      0.9929         nan         nan
img_023/mask_02.png                  1      1338      G5       28.28      0.9740         nan         nan
img_023/mask_03.png                  2       688      G4       42.10      0.9861         nan         nan
img_023/mask_04.png                  3        84      G1       45.55      0.9941         nan         nan
img_023/mask_05.png                  4       171      G2       47.61      0.9957         nan         nan
img_023/mask_06.png                  5        54      G1       44.59      0.9943         nan         nan
img_023/mask_07.png                  6      1329      G4       41.90      0.9887         nan         nan
img_023/mask_08.png                  7      3119      G5       37.04      0.9786         nan         nan
img_023/mask_09.png                  8       182      G3       45.94      0.9935         nan         nan
img_023/mask_10.png                  9       180      G2       46.30      0.9932         nan         nan
img_024/mask_01.png                  0       371      G3       36.46      0.9901         nan         nan
img_024/mask_02.png                  1      1338      G5       30.06      0.9763         nan         nan
